Players and Stats for 2023-24 Season,Points (per 100),Rebounds (per 100),Assists (per 100),Blocks (per 100),Steals (per 100),Field Goal Percentage,Three-point Percentage,Free Throw Percentage,Team Offensive Rating,Team Defensive Rating,Team Record,Hot Hand Points (per 100),Hot Hand Rebounds (per 100),Hot Hand Assists (per 100),Hot Hand Blocks (per 100),Hot Hand Steals (per 100),Hot Hand Field Goal Percentage,Hot Hand Three-Point Percentage,Hot Hand Free Throw Percentage,Hot Hand Team Offensive Rating,Hot Hand Team Defensive Rating,Hot Hand Team Record
Giannis Antetokounmpo,41.6,15.7,8.9,1.5,1.6,61.10%,27.40%,65.70%,126,112,"9, 4",46.9,17.2,6.9,1.4,2.1,67.50%,0%,68.20%,111.7,133.1,"7, 3"
Lebron James,34.6,9.8,11.2,0.7,1.7,54.00%,41.00%,75.00%,120,114,"10, 12",40.5,11.5,8.4,0.7,2.3,62.90%,40%,71.40%,107.6,116.4,"7, 3"
Bam Adebayo,28.2,15.2,5.7,1.4,1.7,52.10%,35.70%,75.50%,115,109,"8, 9",26.9,18.3,8.6,2.6,2.1,44.10%,N/A,95.20%,105.9,102.1,"7, 3"
Luka Doncic,43.3,11.8,12.5,0.7,1.8,48.70%,38.20%,78.60%,122,113,"3, 7",56.3,7.8,11.7,0,1.6,61%,40.90%,78.90%,138.3,130.5,"9, 1"
Kevin Durant,35.5,8.7,6.6,1.6,1.2,52.30%,41.30%,85.60%,118,114,"9, 7",39.6,9.4,3.1,3.1,1,44.40%,40%,80%,126,119.8,"5, 5"
Tyrese Haliburton,29.5,5.7,16,1,1.8,47.70%,36.40%,85.50%,129,119,"3, 2",57.2,2,11.2,1.3,2,63.80%,60%,100%,127.6,110.7,"6, 4"
Shai Gilgeous-Alexander,42.4,7.8,8.8,1.3,2.8,53.50%,35.30%,87.40%,129,110,"3, 3",44,9.6,8.4,0,2.4,58.70%,0%,95%,116.9,104.2,"8, 2"
Damian Lillard,33.1,6,9.5,0.3,1.3,42.40%,35.40%,92%,120,118,"12, 6",45.2,2.6,9.6,0.6,1.3,59%,52%,90%,129,105.8,"9, 1"
Nikola Jokic,37.8,17.7,12.8,1.2,2,58.30%,35.90%,81.70%,131,108,"6, 0",28.2,15.9,15.9,1.5,1,63.20%,37.50%,50%,107.7,108.7,"4, 6"
Jayson Tatum,37.1,11.2,6.8,0.8,1.4,47.10%,37.60%,83.30%,121,111,"10, 2",27.8,10.6,6.8,0.8,0.8,46.40%,38.50%,85.70%,112,105.3,"7, 3"
Jalen Brunson,40.9,5.1,9.6,0.2,1.3,47.90%,40.10%,84.70%,124,117,"8, 8",37.9,5.6,7.3,0,0.8,48.50%,55.60%,71.40%,108.1,127.6,"7, 3"
Devin Booker,36.7,6.1,9.4,0.6,1.2,49.20%,36.40%,88.60%,124,117,"9, 12",46.8,3.2,10.6,0,0,47.20%,35.70%,83.30%,117,119.6,"7, 3"
Tyrese Maxey,34,4.8,8.1,0.6,1.3,45%,37.30%,86.80%,121,117,"4, 6",41.5,2.2,8.5,1.1,2.2,51.70%,40%,88.90%,100,114,"9, 1"
Joel Embiid,50.9,16.2,8.2,2.5,1.7,52.90%,38.80%,88.30%,124,109,"1, 2",51,12,9.1,2.8,1.4,60%,50%,95.80%,131.5,114.8,"9, 1"
Anthony Edwards,36.6,7.7,7.2,0.7,1.8,46.10%,35.70%,83.60%,112,110,"10, 4",43.7,4.2,5.9,0,1.7,57.10%,53.80%,83.30%,120.2,95.9,"9, 1"
Stephen Curry,39.1,6.6,7.6,0.6,1.1,45%,40.80%,92.30%,119,117,"5, 7",51.3,6.2,4.4,0,2.7,51.30%,50%,92.90%,119.5,122.7,"5, 5"
Donte Divincezno,26.9,6.3,4.6,0.8,2.3,44.30%,40.10%,75.40%,120,113,"11, 9",20.1,4.4,2.2,0,1.9,41.70%,40%,80%,117,134.2,"6, 4"
James Harden,23.8,7.4,12.3,1.1,1.5,42.80%,38.10%,87.80%,125,116,"13, 9",32.4,8.4,12.8,0.5,2.2,53.10%,35%,94.40%,132.4,132.6,"7, 3"
Kawhi Leonard,34.2,8.8,5.2,1.3,2.4,52.50%,41.70%,88.50%,124,114,"6, 6",19.8,8.7,7.1,2.4,2.4,39.30%,10%,50%,107.1,117.4,"6, 4"
Karl-Anthony Towns,32.9,12.6,4.6,1,1,50.40%,41.60%,87.30%,115,109,"4, 1",37.4,9.8,5.2,0.6,1.7,53.80%,50%,100%,124.7,119,"7, 3"
